1,1,34.6848,9.227
1,2,34.6848,9.227
1,3,34.6941,8.233
1,4,34.6959,7.262
1,5,34.5472,6.503
1,6,34.6149,5.739
1,7,34.6234,4.929
1,8,34.6901,4.241
1,9,34.6071,3.657
1,10,34.6661,3.258
1,11,34.6598,2.256
1,12,34.6655,1.257
1,13,34.66,1.257
1,14,34.6085,1.204
1,15,34.6036,1.2
1,16,34.6051,1.201
1,17,34.606,1.199
1,18,34.6025,1.2
1,19,34.6027,1.2
1,20,34.6049,1.2
1,21,34.6058,1.2
1,22,34.6067,1.2
1,23,35.2539,1.2
1,24,35.2491,1.2
1,25,35.25,1.2
1,26,35.248,1.2
1,27,35.2464,1.2
1,28,35.2464,1.2
1,29,35.2464,1.2
1,30,35.2464,1.2
2,1,60.6014,3.965
2,2,60.6014,3.965
2,3,60.3915,3.01
2,4,60.3949,2.013
2,5,60.3965,1.011
2,6,60.3833,1.005
2,7,60.3898,1.006
2,8,60.6394,1.007
2,9,61.4963,1.007
2,10,61.6435,1.007
2,11,61.6521,1.005
2,12,61.9734,1.004
2,13,61.9732,1.005
2,14,61.9721,1.002
2,15,61.9732,1.003
2,16,61.9707,1.004
2,17,61.9702,1.007
2,18,61.971,1.008
2,19,61.9746,1.008
2,20,61.9714,1.006
2,21,61.9731,1.007
2,22,61.9702,1.007
2,23,61.9678,1.006
2,24,61.9686,1.007
2,25,61.9657,1.007
2,26,61.9698,1.007
2,27,61.9698,1.007
2,28,61.9698,1.007
2,29,61.9698,1.007
2,30,61.9698,1.007
3,1,84.7514,8.164
3,2,84.7514,8.164
3,3,85.0797,7.492
3,4,85.3073,6.715
3,5,85.4561,5.854
3,6,85.6017,5.004
3,7,85.6455,4.05
3,8,85.7767,3.173
3,9,85.7746,2.178
3,10,85.7737,1.176
3,11,85.7179,0.435
3,12,85.7204,0.435
3,13,86.2643,0.434
3,14,86.2666,0.436
3,15,86.2655,0.436
3,16,86.2653,0.435
3,17,86.2641,0.435
3,18,86.2641,0.434
3,19,86.262,0.436
3,20,86.2611,0.435
3,21,86.2628,0.434
3,22,86.5128,0.436
3,23,86.5094,0.435
3,24,86.5114,0.435
3,25,86.5075,0.435
3,26,86.5032,0.435
3,27,86.5032,0.435
3,28,86.5032,0.435
3,29,86.5032,0.435
3,30,86.5032,0.435
4,1,105.107,9.558
4,2,105.107,9.558
4,3,105.106,8.557
4,4,105.879,8.326
4,5,106.212,7.654
4,6,106.436,6.877
4,7,106.573,6.016
4,8,106.721,5.166
4,9,106.768,4.212
4,10,106.894,3.335
4,11,106.898,2.34
4,12,106.901,1.337
4,13,106.732,0.435
4,14,106.73,0.434
4,15,106.731,0.434
4,16,106.732,0.435
4,17,106.727,0.435
4,18,106.726,0.434
4,19,106.728,0.434
4,20,106.724,0.434
4,21,106.727,0.435
4,22,106.726,0.435
4,23,106.729,0.435
4,24,106.732,0.434
4,25,106.731,0.434
4,26,106.731,0.434
4,27,106.731,0.434
4,28,106.731,0.434
4,29,106.731,0.434
4,30,106.731,0.434
5,1,120.666,9.838
5,2,120.666,9.838
5,3,121.665,9.838
5,4,121.66,8.837
5,5,121.991,8.163
5,6,122.215,7.387
5,7,122.358,6.526
5,8,122.507,5.676
5,9,122.558,4.723
5,10,122.677,3.844
5,11,122.679,2.85
5,12,122.68,1.847
